Country Name,Labor force participation rate (% of population ages 15+),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States,total,64.99099731,64.98300171,64.3239975,63.58499908,63.01599884,62.89799881,62.51699829,62.20899963,62.01399994,62.15999985
United States,female,58.25899887,58.45800018,58.14500046,57.5,56.92900085,56.70000076,56.29199982,56.11000061,55.83200073,55.99000168
United States,male,72.02600098,71.79699707,70.77300262,69.93199921,69.35700226,69.34700012,68.98799896,68.54299927,68.42900085,68.55799866
United Kingdom,total,61.92300034,62.18700027,62.01800156,61.83399963,61.74300003,61.97700119,62.12400055,62.20399857,62.24000168,62.35100174
United Kingdom,female,54.94599915,55.26900101,55.48799896,55.45500183,55.51900101,55.77999878,56.14400101,56.42499924,56.5530014,56.77399826
United Kingdom,male,69.31199646,69.5019989,68.91100311,68.55799866,68.29199982,68.48600006,68.39600372,68.25499725,68.18699646,68.17500305
France,total,56.14300156,56.22399902,56.38600159,56.2820015,56.00400162,56.1629982,56.11199951,55.77799988,55.57799911,55.42100143
France,female,50.50500107,50.68500137,50.97000122,50.92300034,50.77500153,50.93099976,51.08100128,50.88700104,50.72900009,50.67499924
France,male,62.11700058,62.09500122,62.1269989,61.96099854,61.54299927,61.70299911,61.43500137,60.95100021,60.70399857,60.43199921
Australia,total,65.33599854,65.61599731,65.52899933,65.53299713,65.5530014,65.24900055,65.00800323,64.76599884,65.0490036,64.89299774
Australia,female,58.20000076,58.66500092,58.81999969,58.70700073,58.95299911,58.82400131,58.70399857,58.64500046,59.05799866,59.24000168
Australia,male,72.59799957,72.67500305,72.33100128,72.44999695,72.2460022,71.77300262,71.42099762,71.00499725,71.16400146,70.66699982
Canada,total,67.04699707,67.20800018,66.75099945,66.58100128,66.37200165,66.20600128,66.16799927,65.69999695,65.54399872,65.39099884
Canada,female,61.88999939,61.98600006,61.875,61.85800171,61.60100174,61.61399841,61.68399811,61.0870018,60.77199936,60.80699921
Canada,male,72.36199951,72.58599854,71.77100372,71.44200134,71.28299713,70.93199921,70.78399658,70.44799805,70.45400238,70.10600281
Denmark,total,65.84999847,66.0510025,65.32299805,64.36599731,63.95700073,63.17499924,62.32400131,62.08599854,62.02399826,63.30599976
Denmark,female,60.8390007,61.05500031,60.61000061,59.79899979,59.63100052,59.10800171,58.58599854,58.01100159,57.70999908,59.31200027
Denmark,male,71.02700043,71.20700073,70.18199921,69.06900024,68.40799713,67.35299683,66.15899658,66.26200104,66.44100189,67.39199829
Iceland,total,76.72000122,76.06999969,74.63899994,74.90200043,74.31400299,74.35099792,75.09500122,76.26899719,77.01899719,77.73799896
Iceland,female,71.54000092,70.91200256,70.26399994,70.63400269,70.21499634,70.83899689,71.48100281,72.14700317,73.09799957,73.17199707
Iceland,male,81.89299774,81.20700073,78.98500061,79.13500214,78.38500214,77.84700012,78.6989975,80.39099884,80.94599915,82.31099701
Italy,total,48.63899994,48.93199921,48.26900101,47.97000122,47.85300064,48.71900177,48.31600189,48.50500107,48.36600113,48.84600067
Italy,female,37.7480011,38.39099884,37.89400101,37.78499985,37.93500137,39.1629982,39.0320015,39.40000153,39.00299835,39.63499832
Italy,male,60.35300064,60.28300095,59.45000076,58.94900131,58.54299927,59.01100159,58.30699921,58.29100037,58.41600037,58.7179985
Netherlands,total,65.55899811,66.15599823,66.36399841,64.69300079,64.12999725,64.59400177,64.50099945,64.01399994,64.06900024,63.7140007
Netherlands,female,58.42399979,59.23899841,59.74499893,58.24900055,58.0929985,58.625,58.53699875,57.81399918,58.20299911,58.02000046
Netherlands,male,72.91300201,73.27999878,73.1760025,71.31999969,70.33399963,70.72499847,70.6230011,70.375,70.08300018,69.54299927
Norway,total,66.38500214,67.41500092,66.44999695,65.6989975,65.21299744,65.29499817,65,64.71900177,64.88999939,64.37200165
Norway,female,62.06499863,63.24100113,62.62599945,61.79000092,61.65800095,61.59799957,61.56800079,61.34899902,61.33100128,60.88299942
Norway,male,70.81300354,71.6760025,70.33499908,69.65499878,68.79699707,69.00700378,68.43399811,68.07700348,68.42700195,67.82800293
Portugal,total,62.27199936,62.03699875,61.25099945,61.04800034,60.3730011,60.01599884,59.20399857,58.77899933,58.63199997,58.54700089
Portugal,female,56.00500107,55.86800003,55.63299942,55.81399918,54.61299896,54.65200043,54.12799835,53.79800034,53.77700043,53.57500076
Portugal,male,69.15599823,68.84400177,67.47799683,66.8789978,66.81800079,66.0490036,64.94100189,64.43399811,64.16300201,64.21800232
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: Jobs,,,,,,,,,,,
Last Updated: 02/17/2021,,,,,,,,,,,
